ID	HMDB_ID	standard_metName	metName	Gene_name	Protein_name	Evidence	Annotation
13	HMDB0015531	Iron	Iron	Slc11a2	Natural resistance-associated macrophage protein 2	23506870	Transporter
14	HMDB0015531	Iron	Iron	Slc40a1	Solute carrier family 40 member 1	25209728; 30852438; 27667161; 24644245; 21875943; 20675164; 23506870; 21199650; 33787609; 17181986; 14757427; 15338274; 27773819; 23922661; 29212168; 24121729; 28219768; 28978826; 21175851	Transporter
15	HMDB0001311	D-Lactic acid	Lactate	Slc16a1	Monocarboxylate transporter 1	32144120; 22428047	Transporter
16	HMDB0000687	L-Leucine	Leucine	Slc1a5	Neutral amino acid transporter B(0)	33953707; 30071532; 30470977	Transporter
17	HMDB0000687	L-Leucine	Leucine	Slc3a2	4F2 cell-surface antigen heavy chain	33953707	Transporter
18	HMDB0000687	L-Leucine	Leucine	Slc7a5	Large neutral amino acids transporter small subunit 1	33953707	Transporter
19	HMDB0001429	Phosphate	Phosphate	Slc20a2	Sodium-dependent phosphate transporter 2	30721528	Transporter
20	HMDB0000259	Serotonin	Serotonin	Slc6a4	Sodium-dependent serotonin transporter	33868590; 31342534; 16251523; 25012842	Transporter
21	HMDB0000235	Thiamine	Thiamine	Slc19a1	Reduced folate transporter	28284395; 32498429	Transporter
22	HMDB0000235	Thiamine	Thiamine	Slc19a2	Thiamine transporter 1	28284395; 32498429	Transporter
23	HMDB0000338	2-Hydroxyestradiol	2-Hydroxyestradiol	Esr1	Estrogen receptor	27312859	Receptor
24	HMDB0006247	25-Hydroxycholesterol	25-Hydroxycholesterol	Esr1	Estrogen receptor	21304949	Receptor
25	HMDB0002103	27-Hydroxycholesterol	27-Hydroxycholesterol	Esr1	Estrogen receptor	33408073	Receptor
26	HMDB0000022	3-Methoxytyramine	3-Methoxytyramine	Taar1	Trace amine-associated receptor 1	22483291	Receptor
27	HMDB0001149	5-Aminolevulinic acid	5-Aminolevulinic acid	Tspo2	Translocator protein 2	31989647	Transporter
28	HMDB0000045	Adenosine monophosphate	AMP	Adora1	Adenosine receptor A1	32417395	Receptor
29	HMDB0000895	Acetylcholine	Acetylcholine	Chrm1	Muscarinic acetylcholine receptor M1	30157420	Receptor
30	HMDB0000895	Acetylcholine	Acetylcholine	Chrm2	Muscarinic acetylcholine receptor M2	23743182	Receptor
31	HMDB0000895	Acetylcholine	Acetylcholine	Chrm3	Muscarinic acetylcholine receptor M3	30157420	Receptor
32	HMDB0000895	Acetylcholine	Acetylcholine	Chrna1	Acetylcholine receptor subunit alpha	28045942	Receptor
33	HMDB0000895	Acetylcholine	Acetylcholine	Chrna2	Neuronal acetylcholine receptor subunit alpha-2	29785025	Receptor
34	HMDB0000895	Acetylcholine	Acetylcholine	Chrna4	Neuronal acetylcholine receptor subunit alpha-4	15902904	Receptor
35	HMDB0000895	Acetylcholine	Acetylcholine	Chrna7	Neuronal acetylcholine receptor subunit alpha-7	32321403	Receptor
36	HMDB0001178	Adenosine diphosphate ribose	Adenosine diphosphate ribose	Trpm2	Transient receptor potential cation channel subfamily M member 2	22493272	Receptor
37	HMDB0000050	Adenosine	Adenosine	Adora1	Adenosine receptor A1	28598776; 23956030; 31675497; 27747290; 28196272; 33067580	Receptor
38	HMDB0000050	Adenosine	Adenosine	Adora2a	Adenosine receptor A2a	34255555; 29298852; 28598776; 23956030; 27747290; 17616786; 19635551	Receptor
39	HMDB0000050	Adenosine	Adenosine	Adora2b	Adenosine receptor A2b	28598776; 23956030; 23540714; 25087184; 27747290; 22504483; 31570448	Receptor
40	HMDB0000050	Adenosine	Adenosine	Adora3	Adenosine receptor A3	23956030; 26194548; 28598776	Receptor
41	HMDB0004080	Anandamide	Anandamide	Cnr1	Cannabinoid receptor 1	17935697; 26900150	Receptor
42	HMDB0004080	Anandamide	Anandamide	Cnr2	Cannabinoid receptor 2	26900150; 20133390	Receptor
43	HMDB0004080	Anandamide	Anandamide	Trpv1	Transient receptor potential cation channel subfamily V member 1	17935697; 29504066; 22568077; 17704831; 23573230; 17591864; 30243113; 22394688; 19647120; 14517174; 16107881	Receptor
44	HMDB0000517	L-Arginine	Arginine	Avpr2	Vasopressin V2 receptor	24706579	Receptor
45	HMDB0000067	Cholesterol	Cholesterol	Ldlr	Low-density lipoprotein receptor	10974047; 19063703; 26520906; 20090943; 26281596; 32855525; 23221398; 25487149; 24900971; 32220355; 34103960; 16741953; 27247956; 32236613; 25023761; 25394495; 32368969; 14978770; 18162663; 19913121; 28919473; 25403094; 27834848; 24675665; 33757439; 22911757; 29535632; 28762182; 22470048; 23580231; 27735997; 30273964; 31437157; 30566603; 16236385; 33423309; 7600118; 28515357; 24603306; 12213890; 24950000; 10669643; 25231171; 32334376; 23937379; 29988450; 26495026; 28012395; 30195495; 30896554; 9351364; 15523646; 20049331; 15358785; 22962999; 22544571; 25797218; 27442011; 20857860; 30584280; 34347016; 28469073; 17184503; 30508567; 33429337; 26686234; 26548330; 30182437; 9502769; 24518357; 15617508; 23654093; 27050279; 32438039; 20041784; 9249773; 22761797; 29301853; 34461308; 32109664; 27888903; 23431047; 26085104; 28145001; 21645898; 22683120; 23623643; 23599654; 22936343; 23422832; 22761969; 8941642; 26523989; 29931853; 24505463; 19916081; 23883163; 30600305; 31100394; 10333389; 28100270; 19888660; 33606190; 21343340; 11164418; 19632679; 22593575; 25548917; 17344580; 18672372; 17331334; 27175606; 28751953; 19322023; 31332430; 31358055; 21657943; 21559365; 10493153; 31647302; 27438015; 31511396; 33747976; 24851052; 29092018; 31753053; 31299237; 21273557; 28555288; 30744358; 21734060; 26246324; 32964731; 24940994; 9664080; 27401460; 24373748; 20176131; 26068142; 27707816; 17531953; 30332439; 30592221; 18039658; 30385871; 30704067; 27084371; 30876530; 20028367; 15450205; 26921684; 15118091; 28099631; 10395289; 19067122; 28169529; 22580899; 25468703; 27031271; 27763549; 29398429; 31167970; 32860619; 9405278; 27459037; 25889601; 26535009; 30576926; 24837748; 30768966; 31767163; 31815695; 16741291; 15677715; 27435541; 32161285; 11291309; 21153157; 25587205; 26721317; 17351764; 23166513; 15654122; 33515402; 29545368; 24443560; 9747026; 32644974; 24352472; 31913546; 29190549; 20887597; 19060325; 25272851; 27909053; 28063230; 17709443; 16185916; 29982529; 30741106; 30486328; 20197419; 32050453; 24412220; 27564380; 31004037; 29169169; 11397707; 32705598; 24489659; 24987033; 22332058; 20073037; 11387232; 32759540; 34558270; 26204136; 29204218; 27918728; 24930699; 20580938; 15904870; 22494195; 24256518; 25413784; 33977967; 11369802; 18799458; 10488949; 9360938; 19433409; 25675507; 12910492; 15888329; 22059152; 32685494; 25754609; 25811180; 18193043; 28013406; 24770487; 30765502; 34615375; 11983917; 32727844; 18187606; 24472543; 26546829; 18771980; 11181749; 26786161; 21377952; 32918994; 16920108; 26040332; 27769814; 17720268; 11445560; 29321129; 25070550; 26700830; 24993279; 25201834; 23862065; 27378433; 28292942; 25504870; 27350674; 28874442; 17766366; 9360301; 20459026; 27998977	Receptor
46	HMDB0000067	Cholesterol	Cholesterol	Scarb1	Scavenger receptor class B member 1	17379624; 24253048; 29772548; 29285103; 24928939; 23510561; 20926582; 32591337; 24334872; 29516118; 18542840; 26754576; 25245032; 18276752; 25504870; 20064494; 29092018; 31753053; 31017097	Receptor
47	HMDB0003406	D-Serine	D-Serine	Grin1	Glutamate receptor ionotropic, NMDA 1	28262924	Receptor
48	HMDB0002961	Dihydrotestosterone	Dihydrotestosterone	Glp1r	Glucagon-like peptide 1 receptor	31669915	Receptor
49	HMDB0002183	Docosahexaenoic acid	Docosahexaenoic acid	Ffar4	Free fatty acid receptor 4	24005906	Receptor
50	HMDB0000073	Dopamine	Dopamine	Drd1	D(1A) dopamine receptor	33017522; 30967134; 12047334; 24909515	Receptor
51	HMDB0000073	Dopamine	Dopamine	Drd2	D(2) dopamine receptor	21070510; 10578238; 30967134; 17476365; 15084894; 20975260; 23717492; 17466074; 24772965; 23232665; 26015071; 29466326; 18192895; 19635551; 22876458; 19931559; 11979061; 18366720; 24834916; 23947671; 23266708; 15542698; 29992511; 9129716; 21592505; 10235293; 16403463; 19803686; 11256581; 12497624; 30651332; 24288745	Receptor
52	HMDB0000073	Dopamine	Dopamine	Drd3	D(3) dopamine receptor	18366720; 30967134; 12047334; 10578238; 23232665; 29525179; 7914177; 17616385; 17466074; 19931559; 23063408	Receptor
53	HMDB0000073	Dopamine	Dopamine	Drd4	D(4) dopamine receptor	18366720; 23717434; 30967134; 15627814; 12624717; 15292670; 16182111; 21615938; 22725835; 22356182; 22575564; 12707943; 27217152; 33868590; 14605948; 17466074; 16930369; 19931559	Receptor
54	HMDB0000073	Dopamine	Dopamine	Drd5	D(1B) dopamine receptor	10578238; 12047334	Receptor
55	HMDB0000073	Dopamine	Dopamine	Trpv1	Transient receptor potential cation channel subfamily V member 1	24465516	Receptor
56	HMDB0001999	Eicosapentaenoic acid	Eicosapentaenoic acid	Ffar4	Free fatty acid receptor 4	27489163	Receptor
57	HMDB0000151	Estradiol	Estradiol	Esr1	Estrogen receptor	28490809; 9925803	Receptor
58	HMDB0000153	Estriol	Estriol	Esr1	Estrogen receptor	27471150	Receptor
59	HMDB0000145	Estrone	Estrone	Esr1	Estrogen receptor	9228655	Receptor
60	HMDB0000108	Ethanol	Ethanol	Chrna5	Neuronal acetylcholine receptor subunit alpha-5	29944862	Transporter
61	HMDB0000121	Folic acid	Folic acid	Folr1	Folate receptor alpha	32581311; Recon2	Transporter
62	HMDB0000121	Folic acid	Folic acid	Folr2	Folate receptor beta	32581311; Recon2	Transporter
63	HMDB0000112	gamma-Aminobutyric acid	GABA	Gabbr1	Gamma-aminobutyric acid type B receptor subunit 1	17266109; 22253714; 26298628	Receptor
64	HMDB0000112	gamma-Aminobutyric acid	GABA; gamma-Aminobutyric acid	Gabrg2	Gamma-aminobutyric acid receptor subunit gamma-2	22253714; 27367160; 30695556	Receptor
65	HMDB0000148	L-Glutamic acid	Glutamate	Gria1	Glutamate receptor 1	7957959; 20579352	Receptor
66	HMDB0000148	L-Glutamic acid	Glutamate	Gria2	Glutamate receptor 2	30695556; 19166514; 26047211; 25411160	Receptor
67	HMDB0000148	L-Glutamic acid	Glutamate	Gria3	Glutamate receptor 3	30029590; 32839935	Receptor
68	HMDB0000148	L-Glutamic acid	Glutamate	Gria4	Glutamate receptor 4	30029590; 28646511	Receptor
69	HMDB0000148	L-Glutamic acid	Glutamate	Grid1	Glutamate receptor ionotropic, delta-1	32109663	Receptor
70	HMDB0000148	L-Glutamic acid	Glutamate	Grid2	Glutamate receptor ionotropic, delta-2	11568633	Receptor
71	HMDB0000148	L-Glutamic acid	Glutamate	Grik2	Glutamate receptor ionotropic, kainate 2	30695556	Receptor
72	HMDB0000148	L-Glutamic acid	Glutamate	Grik4	Glutamate receptor ionotropic, kainate 4	30029590	Receptor
73	HMDB0000148	L-Glutamic acid	Glutamate	Grin3a	Glutamate receptor ionotropic, NMDA 3A	30029590	Receptor
74	HMDB0000148	L-Glutamic acid	Glutamate	Grm1	Metabotropic glutamate receptor 1	7957959; 22892214; 33145952	Receptor
75	HMDB0000148	L-Glutamic acid	Glutamate	Grm2	Metabotropic glutamate receptor 2	30695556; 25411160; 29113156	Receptor
76	HMDB0000148	L-Glutamic acid	Glutamate	Grm3	Metabotropic glutamate receptor 3	32839935	Receptor
77	HMDB0000148	L-Glutamic acid	Glutamate	Grm4	Metabotropic glutamate receptor 4	28646511	Receptor
78	HMDB0000148	L-Glutamic acid	Glutamate	Grm5	Metabotropic glutamate receptor 5	33053940; 30695556	Receptor
79	HMDB0000148	L-Glutamic acid	Glutamate	Grm7	Metabotropic glutamate receptor 7	22138407	Receptor
80	HMDB0000148	L-Glutamic acid	Glutamate	Grm8	Metabotropic glutamate receptor 8	26537360; 24392270	Receptor
81	HMDB0000148	L-Glutamic acid	Glutamate	Trpv1	Transient receptor potential cation channel subfamily V member 1	23108547; 27157265; 20219639; 21957263; 22394688; 23562495	Receptor
82	HMDB0000123	Glycine	Glycine	Grin1	Glutamate receptor ionotropic, NMDA 1	28262924	Receptor
83	HMDB0003178	Heme	Heme	Tlr4	Toll-like receptor 4	33374506; 27821769	Receptor
84	HMDB0003178	Heme	Heme	Trpv6	Transient receptor potential cation channel subfamily V member 6	27142151	Transporter
85	HMDB0000870	Histamine	Histamine	Hrh1	Histamine H1 receptor	9512916	Receptor
86	HMDB0000870	Histamine	Histamine	Hrh2	Histamine H2 receptor	9792230	Receptor
87	HMDB0000870	Histamine	Histamine	Hrh3	Histamine H3 receptor	8960873	Receptor
88	HMDB0000870	Histamine	Histamine	Hrh4	Histamine H4 receptor	30414378	Receptor
89	HMDB0003125	Hydrogen peroxide	Hydrogen peroxide	Trpm2	Transient receptor potential cation channel subfamily M member 2	22493272	Receptor
90	HMDB0015531	Iron	Iron	Tfr2	Transferrin receptor protein 2	27013087; 24847265; 20826723; 18565178; 19729324; 11535534; 24055409; 27169626; 11005792; 20593115; 32621410; 17098454; 11673399; 31707638; 27477597; 11358390; 16932966; 27667161; 32054685; 24644245; 20880062; 26608187; 34199599; 20542038; 25635054; 17241880; 17417667; 17181986; 18094142; 24055163; 26029709; 20133002; 19759876; 21150441; 16158226; 17207112; 15521925; 24284962; 15124225; 15317665; 15893030; 21422745; 22460705; 30186425; 16935854; 11027676; 17042772; 12547237; 24556216; 21864651; 34156073; 33323945; 29434729; 17428703; 23582421; 28978826; 30360575; 30034931; 15701302; 12406888	Receptor
91	HMDB0015531	Iron	Iron	Tfrc	Transferrin receptor protein 1	21326867; 27773819; 22237814; 31401526; 23115478; 24890018; 33393230; 18603562; 25550467; 33693820; 23416069; 30076742; 32672503; 34389031; 34386079	Receptor
92	HMDB0000517	L-Arginine	L-Arginine	Gprc6a	G-protein coupled receptor family C group 6 member A	22714012	Receptor
93	HMDB0000159	L-Phenylalanine	Phenylalanine; L-Phenylalanine	Gpr142	Probable G-protein coupled receptor 142	27322810	Receptor
94	HMDB0000929	L-Tryptophan	L-Tryptophan	Gpr142	Probable G-protein coupled receptor 142	27322810	Receptor
95	HMDB0001311	D-Lactic acid	Lactate	Hcar1	Hydroxycarboxylic acid receptor 1	25881750; 34093243; 30728759; 25425080; 33659884; 26677077	Receptor
96	HMDB0001251	Lanosterol	Lanosterol	Hrh2	Histamine H2 receptor	29142437	Receptor
97	HMDB0000673	Linoleic acid	Linoleic acid	Trpv4	Transient receptor potential cation channel subfamily V member 4	25061872	Receptor
98	HMDB0000761	Lithocholic acid	Lithocholic acid	Gpbar1	G-protein coupled bile acid receptor 1	26567894; 29290621; 27765751	Receptor
99	HMDB0001389	Melatonin	Melatonin	Mtnr1a	Melatonin receptor type 1A	26067916	Receptor
100	HMDB0001389	Melatonin	Melatonin	Mtnr1b	Melatonin receptor type 1B	28708046; 19651812; 25132852; 25160745; 33220095; 31901302; 29590381; 26440713	Receptor
101	HMDB0001403	Prostaglandin D2	Prostaglandin D2	Ptgdr	Prostaglandin D2 receptor	34389612	Receptor
102	HMDB0001403	Prostaglandin D2	Prostaglandin D2	Ptgdr2	Prostaglandin D2 receptor 2	29604141	Receptor
103	HMDB0001220	Prostaglandin E2	Prostaglandin E2	Ptger1	Prostaglandin E2 receptor EP1 subtype	17761898	Receptor
104	HMDB0001220	Prostaglandin E2	Prostaglandin E2	Ptger2	Prostaglandin E2 receptor EP2 subtype	17761898	Receptor
105	HMDB0001220	Prostaglandin E2	Prostaglandin E2	Ptger4	Prostaglandin E2 receptor EP4 subtype	33129574	Receptor
106	HMDB0001358	Retinal	Retinal	Stra6	Receptor for retinol uptake STRA6	27830500	Transporter
107	HMDB0000244	Riboflavin	Riboflavin	Slc52a2	Solute carrier family 52, riboflavin transporter, member 1	30446350; 29122468	Transporter
108	HMDB0000244	Riboflavin	Riboflavin	Slc52a2	Solute carrier family 52, riboflavin transporter, member 2	31500345; 22864630	Transporter
109	HMDB0000259	Serotonin	Serotonin	Htr1a	5-hydroxytryptamine receptor 1A	16251523	Receptor
110	HMDB0000259	Serotonin	Serotonin	Htr1b	5-hydroxytryptamine receptor 1B	28555718; 29860743; 23964727; 24074042	Receptor
111	HMDB0000259	Serotonin	Serotonin	Htr1d	5-hydroxytryptamine receptor 1D	20581837	Receptor
112	HMDB0000259	Serotonin	Serotonin	Htr2a	5-hydroxytryptamine receptor 2A	20521326; 32857933; 16251523; 27959337; 27024926; 32615731	Receptor
113	HMDB0000259	Serotonin	Serotonin	Htr2b	5-hydroxytryptamine receptor 2B	20581837; 34618686	Receptor
114	HMDB0000259	Serotonin	Serotonin	Htr2c	5-hydroxytryptamine receptor 2C	27681143	Receptor
115	HMDB0000259	Serotonin	Serotonin	Htr3a	5-hydroxytryptamine receptor 3A	31342534; 30695556	Receptor
116	HMDB0000259	Serotonin	Serotonin	Htr3b	5-hydroxytryptamine receptor 3B	23183509	Receptor
117	HMDB0000259	Serotonin	Serotonin	Htr4	5-hydroxytryptamine receptor 4	30695556	Receptor
118	HMDB0000259	Serotonin	Serotonin	Htr6	5-hydroxytryptamine receptor 6	18256283	Receptor
119	HMDB0000259	Serotonin	Serotonin	Trpc6	Short transient receptor potential channel 6	24259679	Receptor
120	HMDB0000277	Sphingosine 1-phosphate	Sphingosine 1-phosphate	S1pr1	Sphingosine 1-phosphate receptor 1	24977489; 25197261	Receptor
121	HMDB0000277	Sphingosine 1-phosphate	Sphingosine 1-phosphate	S1pr2	Sphingosine 1-phosphate receptor 2	26518876; 25363242; 26669941	Receptor
122	HMDB0000277	Sphingosine 1-phosphate	Sphingosine 1-phosphate	S1pr3	Sphingosine 1-phosphate receptor 3	28943478	Receptor
123	HMDB0000277	Sphingosine 1-phosphate	Sphingosine 1-phosphate	S1pr5	Sphingosine 1-phosphate receptor 5	24977489	Receptor
124	HMDB0000254	Succinic acid	Succinate	Sucnr1	Succinate receptor 1	25352636; 34270263; 33916314; 26808164; 33279412; 34301438; 29894669; 34233171	Receptor
125	HMDB0000234	Testosterone	Testosterone	Gprc6a	G-protein coupled receptor family C group 6 member A	26785252; 29468843; 24032653; 24998176; 22374969; 24193547; 25093461; 27673554; 33474566; 28180060; 26440882; 31558901	Receptor
126	HMDB0001452	Thromboxane A2	Thromboxane A2	Tbxa2r	Thromboxane A2 receptor	9774254	Receptor
127	HMDB0000158	L-Tyrosine	Tyrosine	Gpr35	G-protein coupled receptor 35	22523636	Receptor
128	HMDB0000305	Vitamin A	Vitamin A	Stra6	Receptor for retinol uptake STRA6	21782034; 19112531; 25481334; 22665496; 27830501; 32597569; 21704730; 23591992; 26729422; 31956331; 26373900; Recon2	Transporter
129	HMDB0000292	Xanthine	Xanthine	Adora1	Adenosine receptor A1	31675497	Receptor
130	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabbr2	Gamma-aminobutyric acid type B receptor subunit 2	30610899	Receptor
131	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabra1	Gamma-aminobutyric acid receptor subunit alpha-1	30891080	Receptor
132	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabra4	Gamma-aminobutyric acid receptor subunit alpha-4	33594062	Receptor
133	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabrb2	Gamma-aminobutyric acid receptor subunit beta-2	33594062	Receptor
134	HMDB0000067	Cholesterol	Cholesterol	Abcb1b	ATP-dependent translocase ABCB1	HMDB	Transporter
134	HMDB0000067	Cholesterol	Cholesterol	Abcb1a	ATP-dependent translocase ABCB1	HMDB	Transporter
135	HMDB0000125	Glutathione	Glutathione	Abcc1	Multidrug resistance-associated protein 1	HMDB	Transporter
136	HMDB0000125	Glutathione	Glutathione	Abcc2	ATP-binding cassette sub-family C member 2	HMDB	Transporter
137	HMDB0000125	Glutathione	Glutathione	Abcc3	ATP-binding cassette sub-family C member 3	HMDB	Transporter
138	HMDB0000125	Glutathione	Glutathione	Abcc4	ATP-binding cassette sub-family C member 4	HMDB	Transporter
139	HMDB0000125	Glutathione	Glutathione	Abcc5	Multidrug resistance-associated protein 5	HMDB	Transporter
140	HMDB0000067	Cholesterol	Cholesterol	Abcg3	Broad substrate specificity ATP-binding cassette transporter ABCG2	HMDB	Transporter
140	HMDB0000067	Cholesterol	Cholesterol	Abcg2	Broad substrate specificity ATP-binding cassette transporter ABCG2	HMDB	Transporter
141	HMDB0000123	Glycine	Glycine	Slc16a10	Monocarboxylate transporter 10	HMDB	Transporter
142	HMDB0000097	Choline	Choline	Slc22a1	Solute carrier family 22 member 1	HMDB	Transporter
143	HMDB0001256	Spermine	Spermine	Slc22a1	Solute carrier family 22 member 1	HMDB; Recon2	Transporter
144	HMDB0001414	Putrescine	Putrescine	Slc22a4	Solute carrier family 22 member 4	HMDB	Transporter
145	HMDB0001256	Spermine	Spermine	Slc22a4	Solute carrier family 22 member 4	HMDB	Transporter
146	HMDB0000064	Creatine	Creatine	Slc16a12	Monocarboxylate transporter 12	23578822	Transporter
147	HMDB0000064	Creatine	Creatine	Slc22a21	Solute carrier family 22 member 5	HMDB	Transporter
147	HMDB0000064	Creatine	Creatine	Slc22a5	Solute carrier family 22 member 5	HMDB	Transporter
148	HMDB0000123	Glycine	Glycine	Slc36a1	Proton-coupled amino acid transporter 1	HMDB	Transporter
149	HMDB0000097	Choline	Choline	Slc44a1	Choline transporter-like protein 1	HMDB	Transporter
150	HMDB0000097	Choline	Choline	Slc44a2	Choline transporter-like protein 2	HMDB	Transporter
151	HMDB0000097	Choline	Choline	Slc44a3	Choline transporter-like protein 3	HMDB	Transporter
152	HMDB0000097	Choline	Choline	Slc44a4	Choline transporter-like protein 4	HMDB	Transporter
153	HMDB0000097	Choline	Choline	Slc5a7	High affinity choline transporter 1	HMDB	Transporter
154	HMDB0000243	Pyruvic acid	Pyruvate	Slc16a11	Monocarboxylate transporter 11	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A11	Transporter
155	HMDB0000243	Pyruvic acid	Pyruvate	Slc16a1	Monocarboxylate transporter 1	31882442	Transporter
156	HMDB0000254	Succinic acid	Succinate	Slc13a5	Solute carrier family 13 member 5	31882442	Transporter
157	HMDB0000094	Citric acid	Citrate	Slc13a5	Solute carrier family 13 member 5	33597751	Transporter
158	HMDB0000134	Fumaric acid	Fumarate	Slc13a5	Solute carrier family 13 member 5	31882442	Transporter
159	HMDB0000156	Malic acid	Malate	Slc13a5	Solute carrier family 13 member 5	31882442	Transporter
160	HMDB0000156	Malic acid	Malate	Slc1a3	Excitatory amino acid transporter 1	https://en.wikipedia.org/wiki/Excitatory_amino_acid_transporter_1	Transporter
161	HMDB0000187	L-Serine	Serine	Slc7a10	Asc-type amino acid transporter 1	33269112	Transporter
162	HMDB0000187	L-Serine	Serine	Slc3a2	4F2 cell-surface antigen heavy chain	33269112	Transporter
163	HMDB0000187	L-Serine	Serine	Slc1a4	Neutral amino acid transporter A	33269112	Transporter
164	HMDB0000187	L-Serine	Serine	Slc1a5	Neutral amino acid transporter B(0)	33269112	Transporter
165	HMDB0000574	L-Cysteine	Cysteine	Slc7a11	Cystine/glutamate transporter	33000412	Transporter
166	HMDB0000696	L-Methionine	Methionine	Slc7a5	Large neutral amino acids transporter small subunit 1	32377929	Transporter
167	HMDB0000168	L-Asparagine	Asparagine	Slc1a5	Neutral amino acid transporter B(0)	33420487	Transporter
168	HMDB0000641	L-Glutamine	Glutamine	Slc6a14	Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+)	26724577	Transporter
169	HMDB0000641	L-Glutamine	Glutamine	Slc6a19	Sodium-dependent neutral amino acid transporter B(0)AT1	26724577	Transporter
170	HMDB0000641	L-Glutamine	Glutamine	Slc7a6	Y+L amino acid transporter 2	26724577	Transporter
171	HMDB0000641	L-Glutamine	Glutamine	Slc7a7	Y+L amino acid transporter 1	26724577	Transporter
172	HMDB0000641	L-Glutamine	Glutamine	Slc38a1	Sodium-coupled neutral amino acid transporter 1	26724577	Transporter
173	HMDB0000641	L-Glutamine	Glutamine	Slc38a3	Sodium-coupled neutral amino acid transporter 3	26724577	Transporter
174	HMDB0000641	L-Glutamine	Glutamine	Slc38a5	Sodium-coupled neutral amino acid transporter 5	26724577	Transporter
175	HMDB0000641	L-Glutamine	Glutamine	Slc38a7	Putative sodium-coupled neutral amino acid transporter 7	26724577	Transporter
176	HMDB0000641	L-Glutamine	Glutamine	Slc38a8	Putative sodium-coupled neutral amino acid transporter 8	26724577	Transporter
177	HMDB0000112	gamma-Aminobutyric acid	GABA	Slc6a1	Sodium- and chloride-dependent GABA transporter 1	https://en.wikipedia.org/wiki/GABA_transporter	Transporter
178	HMDB0000112	gamma-Aminobutyric acid	GABA	Slc6a13	Sodium- and chloride-dependent GABA transporter 2	https://en.wikipedia.org/wiki/GABA_transporter	Transporter
179	HMDB0000112	gamma-Aminobutyric acid	GABA	Slc6a11	Sodium- and chloride-dependent GABA transporter 3	https://en.wikipedia.org/wiki/GABA_transporter	Transporter
